state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
montana,0.0208078700563182,-0.127838628632682,0.216942361215266,-0.558339472000416,-0.638490308712168,-0.791725851595402,0.0220112005869547,MT
nebraska,-0.862335219979286,-0.874125003814697,-0.608047762199452,-0.604880854809027,-0.144989851948827,-0.864221833646298,-0.55565971798367,NE
newmexico,-0.60224607106178,-0.814574241638184,-0.387395597696304,-0.82818022159292,-0.515300964054309,-0.186954866722226,0.66904899229606,NM
northcarolina,-0.482340453108689,-0.700499337263058,-0.622693622714414,-0.578705096248379,-0.63639000590089,-0.397757116532484,-0.278190729739092,NC
ohio,-0.417401611071234,-0.545377609510255,-0.462306975258788,-0.494508265251385,-0.5721927627427,-0.777994960031392,-0.264291220194484,OH
pennsylvania,-0.804043025870598,-0.475965244718094,-0.680517620181103,-0.486858832877353,-0.761924019445379,-0.681566858277053,-0.361151221978561,PA
rhodeisland,-0.80417604992787,-0.909532338380814,-0.362475277313703,-0.225982822854109,-0.293692958432359,-0.746332491397858,-0.201361545064348,RI
southdakota,-0.752667117863894,-0.766293903191884,-0.503719430191572,-0.920452223708298,-0.661113278071086,-0.850908080051685,-0.1655562447384,SD
tennessee,-0.549028680091951,-0.786318417751428,-0.640710858866954,-0.585308365139043,-0.607003159750076,-0.666252535278514,-0.317198460228252,TN
texas,-0.550022642847314,-0.713594753295183,-0.298920330652238,-0.355438169093098,-0.542307557306383,-0.569536898317082,-0.27259777145595,TX
utah,-0.688423285001441,0.345999058485031,-0.566691735560951,-0.460544035622948,-0.187547329068184,-0.494801530614495,0.0848178688598715,UT
virginia,-0.519119580586751,-0.850360726060406,-0.606443671045135,-0.502241746367059,-0.359496051283895,-0.606868498069418,0.198631421214979,VA
washington,-0.863188078668382,-0.941162009064744,-0.698869833249157,-0.70477691512616,-0.796910290637713,-0.635982964308031,-0.559065829962492,WA
westvirginia,-0.514012889220164,-0.977008640766144,-0.832913339679892,-0.284774569481829,-0.490744184759947,-0.637086829543114,-0.0125823164141023,WV
alaska,-0.439740971296648,-0.92264365240679,-0.738157435888197,-0.70243062717574,-0.539817855733892,-0.510917529827211,-0.424102192514398,AK
arizona,-0.667106258869171,-0.435955637031131,-0.444128583742197,-0.505545856305837,-0.497668332241951,-0.0217597922858069,-0.112495892104648,AZ
florida,-0.527750767186865,-0.277793144560202,-0.58556368762573,-0.489484538006454,-0.591530988100452,-0.680219506710543,-0.197100668452507,FL
illinois,-0.566426737800888,-0.447176865501211,-0.432788967233175,-0.647004025594936,-0.618858432917862,-0.70828068791,-0.255332030183924,IL
kansas,-0.675013523286497,-0.720722486143527,-0.424040812779875,-0.351421400409451,-0.198292637482668,-0.537390381968641,0.223901232046292,KS
maryland,0.0186107389163225,-0.128580350188886,-0.39795791448206,-0.526844101230988,-0.296329321593561,-0.456007486868287,-0.214827813600239,MD
massachusetts,-0.752343548427929,-0.371149404156477,-0.635829922556877,0.23277252879116,-0.673381203758544,-0.596489930988117,0.366342936154012,MA
